doi,year,title,stage,primary_reason
10.3389/fvets.2026.1634224,2026,Deep learning-enabled morphology analysis of bovine sperm for label-free imaging flow cytometry,title/abstract screening,Non-human/veterinary species only
10.18502/ijrm.v24i4.21168,2026,"Artificial intelligence in infertility treatment: Applications, challenges, and future directions: A narrative review",title/abstract screening,Sperm/semen only incidental (not in title or lead abstract)
10.3389/fruro.2026.1719894,2026,Breaking barriers in male infertility: the power of artificial intelligence-driven solutions,title/abstract screening,Sperm/semen only incidental (not in title or lead abstract)
10.1007/s11934-024-01239-z,2024,"Artificial Intelligence for Clinical Management of Male Infertility, a Scoping Review",title/abstract screening,Sperm/semen only incidental (not in title or lead abstract)
10.1016/j.bbrc.2026.154166,2026,E-InfertilityTest: Implementing an explainable AI framework for male infertility assessment,title/abstract screening,No AI/ML/DL method (method terms absent)
10.1186/s40834-025-00400-4,2025,Predicting pregnancy outcomes in IVF cycles: a systematic review and diagnostic meta- analysis of artificial intelligence in embryo assessment,title/abstract screening,Not about sperm/semen (domain terms absent)
10.3390/biomedicines14051024,2026,Explainable Artificial Intelligence in Assisted Reproductive Technology: Bridging Prediction and Clinical Judgment,title/abstract screening,Not about sperm/semen (domain terms absent)
10.1101/2025.06.12.659335,2025,Deep Learning-enabled Sperm Morphology Analysis of Bovine Sperm for label-free Imaging Flow Cytometry,title/abstract screening,Non-human/veterinary species only
10.4103/aam.aam_862_25,2026,"Artificial Intelligence in in vitro Fertilization toward Precision, Efficiency, and Ethical Reflection",title/abstract screening,Sperm/semen only incidental (not in title or lead abstract)
10.3389/frai.2026.1794183,2026,Deep learning classification of reproductive tissue from ultrasound: sex determination in red abalone (&lt;i&gt;Haliotis rufescens&lt;/i&gt;),title/abstract screening,Not about sperm/semen (domain terms absent)
10.1186/s12911-026-03395-3,2026,Machine learning for predictive risk stratification in recurrent miscarriage: a systematic review,title/abstract screening,Not about sperm/semen (domain terms absent)
10.3390/nursrep15080281,2025,"Integrating Artificial Intelligence into Perinatal Care Pathways: A Scoping Review of Reviews of Applications, Outcomes, and Equity",title/abstract screening,Sperm/semen only incidental (not in title or lead abstract)
10.1186/s40001-025-02479-6,2025,Artificial intelligence (AI) approaches to male infertility in IVF: a mapping review,title/abstract screening,Sperm/semen only incidental (not in title or lead abstract)
10.1016/j.ejogrb.2025.114039,2025,Artificial intelligence for optimal in vitro fertilization morphokinetics,title/abstract screening,Sperm/semen only incidental (not in title or lead abstract)
10.7759/cureus.81568,2025,Artificial Intelligence in Assisted Reproductive Technology: A New Era in Fertility Treatment,title/abstract screening,Not about sperm/semen (domain terms absent)
10.1016/j.psj.2025.105870,2025,Review: The application and challenges of advanced detection technologies in poultry farming,title/abstract screening,Sperm/semen only incidental (not in title or lead abstract)
